Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides,l_density,n_density,m_density
conv1,230,230,7,7,3,64,2,1,1,1
layer1.0.mask_s.atten_s,9,9,3,3,64,1,1,1,1,1
layer1.0.mask_c.atten_c.0,1,1,1,1,64,16,1,1,1,1
layer1.0.mask_c.atten_c.3,1,1,1,1,16,64,1,1,1,1
layer1.0.conv1,58,58,3,3,64,64,1,0.999843955,0.337328285,1
layer1.0.conv2,58,58,3,3,64,64,1,0.999843955,1,0.337328285
layer1.1.mask_s.atten_s,9,9,3,3,64,1,1,1,1,1
layer1.1.mask_c.atten_c.0,1,1,1,1,64,16,1,1,1,1
layer1.1.mask_c.atten_c.3,1,1,1,1,16,64,1,1,1,1
layer1.1.conv1,58,58,3,3,64,64,1,0.0296106674,0.2522985339,1
layer1.1.conv2,58,58,3,3,64,64,1,0.0296106674,1,0.2522985339
layer2.0.mask_s.atten_s,9,9,3,3,64,1,1,1,1,1
layer2.0.mask_c.atten_c.0,1,1,1,1,64,16,1,1,1,1
layer2.0.mask_c.atten_c.3,1,1,1,1,16,128,1,1,1,1
layer2.0.conv1,58,58,3,3,64,128,2,0.9651187658,0.5886238813,1
layer2.0.conv2,30,30,3,3,128,128,1,0.9651187658,1,0.5886238813
layer2.0.downsample.0,56,56,1,1,64,128,2,1,1,1
layer2.1.mask_s.atten_s,9,9,3,3,128,1,1,1,1,1
layer2.1.mask_c.atten_c.0,1,1,1,1,128,32,1,1,1,1
layer2.1.mask_c.atten_c.3,1,1,1,1,32,128,1,1,1,1
layer2.1.conv1,30,30,3,3,128,128,1,0.8844006062,0.3566778898,1
layer2.1.conv2,30,30,3,3,128,128,1,0.8844006062,1,0.3566778898
layer3.0.mask_s.atten_s,9,9,3,3,128,1,1,1,1,1
layer3.0.mask_c.atten_c.0,1,1,1,1,128,32,1,1,1,1
layer3.0.mask_c.atten_c.3,1,1,1,1,32,256,1,1,1,1
layer3.0.conv1,30,30,3,3,128,256,2,0.9247100353,0.7029747963,1
layer3.0.conv2,16,16,3,3,256,256,1,0.9247100353,1,0.7029747963
layer3.0.downsample.0,28,28,1,1,128,256,2,1,1,1
layer3.1.mask_s.atten_s,9,9,3,3,256,1,1,1,1,1
layer3.1.mask_c.atten_c.0,1,1,1,1,256,64,1,1,1,1
layer3.1.mask_c.atten_c.3,1,1,1,1,64,256,1,1,1,1
layer3.1.conv1,16,16,3,3,256,256,1,0.6512423158,0.4749638736,1
layer3.1.conv2,16,16,3,3,256,256,1,0.6512423158,1,0.4749638736
layer4.0.mask_s.atten_s,9,9,3,3,256,1,1,1,1,1
layer4.0.mask_c.atten_c.0,1,1,1,1,256,64,1,1,1,1
layer4.0.mask_c.atten_c.3,1,1,1,1,64,512,1,1,1,1
layer4.0.conv1,16,16,3,3,256,512,2,0.6912029982,0.7247715592,1
layer4.0.conv2,9,9,3,3,512,512,1,0.6912029982,1,0.7247715592
layer4.0.downsample.0,14,14,1,1,256,512,2,1,1,1
layer4.1.mask_s.atten_s,9,9,3,3,512,1,1,1,1,1
layer4.1.mask_c.atten_c.0,1,1,1,1,512,128,1,1,1,1
layer4.1.mask_c.atten_c.3,1,1,1,1,128,512,1,1,1,1
layer4.1.conv1,9,9,3,3,512,512,1,0.8909872174,0.7145836949,1
layer4.1.conv2,9,9,3,3,512,512,1,0.8909872174,1,0.7145836949
fc,1,1,1,1,512,1000,1,1,1,1
